V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14
-0,1485705502825307;0,312328099034107354;-0,25318441499705235;-0,03350429326156062;0,206118222385674621;0,08175832211874519;0,37437750982635198;-0,03937560632747788;-0,1679335587512919;-0,24960441328375738;0,267812391272570727;-0,13165552087227927;-0,05734444482724226;-0,06897894656606814
-0,1266467598888912;0,350038170478742583;-0,32239321083419031;0,06959767902577667;0,081542569729497347;0,27818489585352363;0,20111172099570912;0,12957745656551165;-0,1545244984468781;-0,01025745630254665;0,004443708487651393;0,13310633164606306;0,17955220292490828;-0,02746451222627028
-0,1567955462683108;0,285359887542612600;-0,22800455390031171;-0,07855006319096719;0,263222457520768782;0,09008588481320431;0,45642595586013107;-0,13017396351497434;-0,0554526379720652;-0,04114400482603056;0,254141942246428776;-0,08845835447597278;-0,06382431758635705;-0,10379111923267895
-0,3116584264801486;0,200380570423911358;-0,31832715031494824;-0,28219432335375594;0,190951847686796489;-0,08074676911699405;-0,22916988256433310;0,11760068546395554;0,0639063525300259;-0,04421643056523727;-0,130283090502188087;0,06784203046010906;-0,16633599034447832;-0,05776400695048201
-0,1911985046767349;0,167452196589579161;-0,35769319586248721;-0,04240057957502577;0,047375601702708867;0,39978452892066157;-0,15733189764146294;0,18017265042265115;0,0895122393540174;0,07800837929242958;0,119147834500556660;-0,01464328443967726;0,15332506453735345;-0,15346885946608152
-0,1613831128639260;0,320669235538424191;-0,33457647468823348;0,19702191887181694;0,095173829854417594;0,19897870608997859;0,17955557306918046;0,19270380291885400;-0,2247707137528727;0,03020916890879435;0,021542209644227452;-0,05537160146587881;-0,04238455190878067;-0,06627735739194274
-0,3211562877546650;0,156968879311706111;-0,30968697086360342;-0,26722468815735639;0,288268731953400137;-0,07921950750524137;-0,10312857761175889;0,14580188842207331;0,1361352624808803;-0,11597566824856977;-0,054108756377714340;0,01706067108112755;-0,06230711160001930;0,03754969109618291
-0,3115103711690678;0,020969840551841378;-0,22323619667707037;-0,36143919460021462;0,242819723658274533;-0,24043480252302304;-0,22522478949737906;0,16019289722233757;0,0585244014853020;0,02690533010516863;0,039744390129124917;-0,13150241935454005;-0,12861988303017974;0,01825920886356406
-0,3295081548513359;0,127067194119044047;-0,27997519598078496;-0,23212065848330926;0,360112129580418494;-0,07585035988977208;-0,05235067389337438;0,12400182565781953;0,1900975149148134;-0,05549792103173931;-0,197889567510963343;-0,04354331022465913;-0,06273656429702947;-0,06691476052577673
-0,1584425136007415;0,369258028373382896;-0,41144501482100121;-0,00901193822133955;-0,010144788208346304;0,34229643105193269;0,12324735501278611;0,09377939232297453;0,0315078355129366;0,01735753646111111;0,106402226179105872;0,02512114508210471;-0,00489953622519217;-0,06443266748588583
-0,2713597506274961;0,254937416851975629;-0,27176142904177442;-0,19560861189582243;0,334637837855479348;-0,10688991648713525;-0,08637495732144684;0,06666473198013904;0,0779062487472288;0,03338529792401838;-0,276664295359445034;-0,15261654724882762;0,05711933670404988;0,13991777935147340
0,2099879542064049;0,249775599829863915;-0,15295609729540852;0,04682082229260132;0,059448592800791497;-0,19647061703158167;0,16155269518294363;-0,28549297666893469;-0,1280578375720033;-0,10314821424155736;-0,089018229631388932;0,09333798737016490;0,16018046758392521;0,26357107565491728
