V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
-0,5678750040183105;-0,01527829844648121;0,21664473030723166;-0,260835569690880287;-0,04752360101915343;-0,19323954073457758;0,04367758077227630;-0,00289628764362170;-0,12011170887970152;0,076603095650227521
-0,3924652501294640;0,18464572598010195;-0,07125748603070876;-0,027939201082251317;0,29843790827629513;-0,24094766726139316;-0,17465906245848278;-0,24424370464797623;0,00372552977919619;-0,023814957607478864
-0,5539525564376948;-0,06723024301749023;0,09412887931088040;-0,232336922468437318;0,20695246828307290;0,03033675712664894;0,12930986630766814;0,09834028292801468;-0,20517159399597737;0,202010915905624922
0,0675079675318989;0,16933284437771934;-0,08221274609212763;0,037893158768478034;0,28421184265571103;-0,47308355561363746;-0,06064586768159943;-0,01934246014087298;0,34618193816416776;-0,129703610524150525
-0,5571790049240656;0,02004095127060435;0,21449754614939168;-0,259487542423087247;-0,10628741226174149;-0,07199904318591777;-0,06210355190455899;-0,00484647099228653;-0,19682120708581877;0,151095615731452304
-0,4861286873579900;0,05498573949611998;0,25023160325763305;-0,258606834593372414;-0,32715097279188987;-0,07548095171549488;0,04610753427971932;-0,00406113282624080;-0,24626341196549834;0,046993753483711195
-0,5079486650200832;0,00568696944488716;0,23072304243066089;-0,168288280141477037;-0,23528012685660463;-0,20147094207914507;0,08069597400643115;0,12711195026885563;0,25927540944902261;-0,032711248379756586
-0,4255978673797120;0,05076985591832485;0,30574460791934382;-0,260507261124399092;-0,31070067021132591;-0,16947472017030299;-0,01998082021196572;-0,06676129289976417;-0,03474913390361965;-0,063903783067525338
0,3027174988481106;-0,02795779284905965;0,16043579293253374;0,315785658719359763;0,07239026569655252;-0,15998044813100346;0,17643727065337558;0,07101010782371069;0,12417354800132627;0,241335687679191474
-0,5291115762509626;-0,08344513273648263;0,06484332735532336;-0,198996273142404090;0,28259089507677176;0,03061258092626219;0,12038572408451131;0,00506487513392277;-0,30301570056577265;0,221101706617741617
-0,5072832494565089;-0,02291153854146791;0,10928105930369095;-0,293316764984950462;0,04470939607203566;-0,08230002714180343;0,22730219534869778;0,28084811119500835;0,28890120873805131;0,015897117320835805
-0,5054880137224704;0,01683451202206811;0,17203559140303853;-0,192553660645432251;-0,08160128366175427;-0,12184939726787319;0,01394571932759357;0,07962558483939555;0,42539408929721589;-0,052735314330583968
-0,4738676012421982;0,07091353443878706;0,26943099314887209;-0,191143375854706449;-0,31431675551498289;-0,09245363449953714;-0,00340890307597842;-0,07380300791056808;-0,14909291089347460;-0,126492299705128375
-0,5435387874403942;0,02575766994746744;0,19442443744839830;-0,225441707515983025;-0,14678932273422210;-0,18185922425672871;0,06959282853098972;0,03779264497512221;-0,26460432621247670;0,062586352510414500
-0,4241309376449453;-0,00301333663470462;0,12798419221886598;-0,205427098255988871;-0,38376554151589026;0,19035547795391625;-0,23302077458685946;0,19379441794453484;0,36510774859890871;-0,013205413340060312
-0,4017988977440305;0,06956440558389092;-0,39396548353912569;0,031396399639745290;0,45872474253304729;0,07169331312997218;-0,08248336237390810;-0,18337819943580877;0,00368553769487740;-0,042045464563862996
-0,5154213895042836;0,03965202170045918;-0,04705798752575681;-0,104382482107588118;0,40459163045666663;-0,03415334073396195;-0,18307278335670410;-0,14749269372966667;-0,16426168886238907;0,113125937438172494
-0,3536716802412536;0,10664538586422226;-0,06217025288405448;-0,006211169149548635;0,50880864745310561;-0,19987846367507611;-0,11035595297402699;-0,13937616396175395;-0,08575612763585634;-0,107917291520691891
-0,3289219663359914;0,00425558979385346;0,18528420649139940;0,555870594622023595;-0,17800969737282793;-0,14169766865143954;0,11292513979936031;-0,08868261600470501;-0,01626295547447067;-0,033398264934725738
