ID_item,item,training,crit,ID,est,domain
3,United States,0,79.5,1jyepxdsepby,83,Countries
3,United States,0,79.5,un90iavtgolm,71.3,Countries
3,United States,0,79.5,8xds32cqrhlg,79,Countries
3,United States,0,79.5,830wmzipl92b,72,Countries
3,United States,0,79.5,ap09bdriiaxs,71,Countries
3,United States,0,79.5,f7wkplh1kr5z,83.5,Countries
3,United States,0,79.5,rj8dmpyn2563,85,Countries
3,United States,0,79.5,1r4upum7lxhi,78,Countries
3,United States,0,79.5,j76opfa4wjzj,79,Countries
3,United States,0,79.5,efuhrzbhjnwg,82,Countries
3,United States,0,79.5,nkfzm8e0mtcu,80,Countries
3,United States,0,79.5,6pjob01zppal,89,Countries
3,United States,0,79.5,19x6o075e4oy,78,Countries
3,United States,0,79.5,ovd5s5i79kru,77.8,Countries
3,United States,0,79.5,a1yt5ymbgc4m,80,Countries
3,United States,0,79.5,1nziths5mtj0,75,Countries
3,United States,0,79.5,oi136bu0srj9,80,Countries
3,United States,0,79.5,i6xr02yzsoee,82,Countries
3,United States,0,79.5,8pxa6oh4ylfk,84.5,Countries
3,United States,0,79.5,5p4nqbumcod1,86,Countries
3,United States,0,79.5,nxibx285n3rn,82,Countries
3,United States,0,79.5,kesc2p7oa7me,80,Countries
3,United States,0,79.5,okeobbnlodto,76,Countries
3,United States,0,79.5,sbydcgc89frj,76,Countries
3,United States,0,79.5,vzgw3yufjpr4,248,Countries
4,Nigeria,1,54.6,n11xewpgbxj4,74,Countries
4,Nigeria,1,54.6,munr1sh9ezc8,53.6,Countries
4,Nigeria,1,54.6,7k1k3a6issm1,54,Countries
4,Nigeria,1,54.6,4n5e6nkj21xl,54,Countries
4,Nigeria,1,54.6,k5d1wxxqlmni,56,Countries
4,Nigeria,1,54.6,xwvj2v8391m1,54,Countries
4,Nigeria,1,54.6,x7t9moqpn7du,54.6,Countries
4,Nigeria,1,54.6,cu4jzug5dshc,54.6,Countries
4,Nigeria,1,54.6,p1zg6qqoufvv,54,Countries
4,Nigeria,1,54.6,wlfzyxtuin3l,76,Countries
4,Nigeria,1,54.6,hpajcjzog48v,54.6,Countries
4,Nigeria,1,54.6,dlan9mr2iku8,55,Countries
4,Nigeria,1,54.6,8xw3ufhwbsme,54,Countries
4,Nigeria,1,54.6,7bagakupy07m,54.6,Countries
4,Nigeria,1,54.6,jlx0jreulovy,54,Countries
4,Nigeria,1,54.6,kp76hw01z3b2,54.6,Countries
4,Nigeria,1,54.6,f52y9ezjwc9h,54.5,Countries
4,Nigeria,1,54.6,ev2fnz9nxtx2,54.6,Countries
4,Nigeria,1,54.6,nfd8u3q7kdlu,54.5,Countries
4,Nigeria,1,54.6,mq9p1a54t26w,56,Countries
4,Nigeria,1,54.6,svdxe9n1f3ku,54.6,Countries
4,Nigeria,1,54.6,6p84ypzofiiy,53.6,Countries
4,Nigeria,1,54.6,15er40f6hrc7,77,Countries
4,Nigeria,1,54.6,1jyepxdsepby,54.6,Countries
4,Nigeria,1,54.6,un90iavtgolm,55,Countries
4,Nigeria,1,54.6,8xds32cqrhlg,54,Countries
4,Nigeria,1,54.6,830wmzipl92b,54,Countries
4,Nigeria,1,54.6,ap09bdriiaxs,54,Countries
4,Nigeria,1,54.6,f7wkplh1kr5z,54.6,Countries
4,Nigeria,1,54.6,rj8dmpyn2563,52,Countries
4,Nigeria,1,54.6,1r4upum7lxhi,54,Countries
4,Nigeria,1,54.6,j76opfa4wjzj,54,Countries
4,Nigeria,1,54.6,efuhrzbhjnwg,55,Countries
4,Nigeria,1,54.6,nkfzm8e0mtcu,54,Countries
4,Nigeria,1,54.6,6pjob01zppal,54.6,Countries
4,Nigeria,1,54.6,19x6o075e4oy,54.6,Countries
4,Nigeria,1,54.6,ovd5s5i79kru,54.6,Countries
4,Nigeria,1,54.6,a1yt5ymbgc4m,54,Countries
4,Nigeria,1,54.6,1nziths5mtj0,53,Countries
4,Nigeria,1,54.6,oi136bu0srj9,55,Countries
4,Nigeria,1,54.6,i6xr02yzsoee,54.6,Countries
4,Nigeria,1,54.6,8pxa6oh4ylfk,54.2,Countries
4,Nigeria,1,54.6,5p4nqbumcod1,71,Countries
4,Nigeria,1,54.6,nxibx285n3rn,54,Countries
4,Nigeria,1,54.6,kesc2p7oa7me,53.6,Countries
4,Nigeria,1,54.6,okeobbnlodto,64,Countries
4,Nigeria,1,54.6,sbydcgc89frj,54.6,Countries
4,Nigeria,1,54.6,vzgw3yufjpr4,70,Countries
5,Brazil,0,76,n11xewpgbxj4,77,Countries
5,Brazil,0,76,munr1sh9ezc8,70,Countries
5,Brazil,0,76,7k1k3a6issm1,80,Countries
5,Brazil,0,76,4n5e6nkj21xl,65,Countries
5,Brazil,0,76,k5d1wxxqlmni,74,Countries
5,Brazil,0,76,xwvj2v8391m1,78,Countries
5,Brazil,0,76,x7t9moqpn7du,74,Countries
5,Brazil,0,76,cu4jzug5dshc,66,Countries
5,Brazil,0,76,p1zg6qqoufvv,77,Countries
5,Brazil,0,76,wlfzyxtuin3l,80,Countries
5,Brazil,0,76,hpajcjzog48v,68,Countries
5,Brazil,0,76,dlan9mr2iku8,75,Countries
5,Brazil,0,76,8xw3ufhwbsme,78,Countries
5,Brazil,0,76,7bagakupy07m,79,Countries
5,Brazil,0,76,jlx0jreulovy,79,Countries
5,Brazil,0,76,kp76hw01z3b2,75,Countries
5,Brazil,0,76,f52y9ezjwc9h,75.9,Countries
5,Brazil,0,76,ev2fnz9nxtx2,76,Countries
5,Brazil,0,76,nfd8u3q7kdlu,79,Countries
5,Brazil,0,76,mq9p1a54t26w,65,Countries
5,Brazil,0,76,svdxe9n1f3ku,82.1,Countries
5,Brazil,0,76,6p84ypzofiiy,73.4,Countries
5,Brazil,0,76,15er40f6hrc7,79,Countries
5,Brazil,0,76,1jyepxdsepby,75,Countries
5,Brazil,0,76,un90iavtgolm,76.4,Countries
5,Brazil,0,76,8xds32cqrhlg,79,Countries
5,Brazil,0,76,830wmzipl92b,78,Countries
5,Brazil,0,76,ap09bdriiaxs,78,Countries
5,Brazil,0,76,f7wkplh1kr5z,78,Countries
5,Brazil,0,76,rj8dmpyn2563,76,Countries
5,Brazil,0,76,1r4upum7lxhi,79,Countries
5,Brazil,0,76,j76opfa4wjzj,74,Countries
5,Brazil,0,76,efuhrzbhjnwg,78,Countries
5,Brazil,0,76,nkfzm8e0mtcu,82,Countries
5,Brazil,0,76,6pjob01zppal,78,Countries
5,Brazil,0,76,19x6o075e4oy,78.9,Countries
5,Brazil,0,76,ovd5s5i79kru,76,Countries
5,Brazil,0,76,a1yt5ymbgc4m,67,Countries
5,Brazil,0,76,1nziths5mtj0,82,Countries
5,Brazil,0,76,oi136bu0srj9,77,Countries
5,Brazil,0,76,i6xr02yzsoee,78,Countries
5,Brazil,0,76,8pxa6oh4ylfk,74.6,Countries
5,Brazil,0,76,5p4nqbumcod1,79,Countries
5,Brazil,0,76,nxibx285n3rn,80,Countries
5,Brazil,0,76,kesc2p7oa7me,75,Countries
5,Brazil,0,76,okeobbnlodto,76,Countries
5,Brazil,0,76,sbydcgc89frj,79,Countries
5,Brazil,0,76,vzgw3yufjpr4,70,Countries
6,Russia,0,73.3,n11xewpgbxj4,68,Countries
6,Russia,0,73.3,munr1sh9ezc8,72,Countries
6,Russia,0,73.3,7k1k3a6issm1,69,Countries
6,Russia,0,73.3,4n5e6nkj21xl,83,Countries
6,Russia,0,73.3,k5d1wxxqlmni,79,Countries
6,Russia,0,73.3,xwvj2v8391m1,78,Countries
6,Russia,0,73.3,x7t9moqpn7du,78,Countries
6,Russia,0,73.3,cu4jzug5dshc,80,Countries
6,Russia,0,73.3,p1zg6qqoufvv,71,Countries
6,Russia,0,73.3,wlfzyxtuin3l,75,Countries
6,Russia,0,73.3,hpajcjzog48v,80,Countries
6,Russia,0,73.3,dlan9mr2iku8,70,Countries
6,Russia,0,73.3,8xw3ufhwbsme,80,Countries
6,Russia,0,73.3,7bagakupy07m,78,Countries
6,Russia,0,73.3,jlx0jreulovy,81,Countries
6,Russia,0,73.3,kp76hw01z3b2,80,Countries
6,Russia,0,73.3,f52y9ezjwc9h,71.6,Countries
6,Russia,0,73.3,ev2fnz9nxtx2,73,Countries
6,Russia,0,73.3,nfd8u3q7kdlu,79,Countries
6,Russia,0,73.3,mq9p1a54t26w,65,Countries
6,Russia,0,73.3,svdxe9n1f3ku,84.5,Countries
6,Russia,0,73.3,6p84ypzofiiy,72.6,Countries
6,Russia,0,73.3,15er40f6hrc7,85,Countries
6,Russia,0,73.3,1jyepxdsepby,77,Countries
6,Russia,0,73.3,un90iavtgolm,70.1,Countries
6,Russia,0,73.3,8xds32cqrhlg,79,Countries
6,Russia,0,73.3,830wmzipl92b,73,Countries
6,Russia,0,73.3,ap09bdriiaxs,71,Countries
6,Russia,0,73.3,f7wkplh1kr5z,80.5,Countries
6,Russia,0,73.3,rj8dmpyn2563,78,Countries
6,Russia,0,73.3,1r4upum7lxhi,82,Countries
